otuid	Kingdom	Phylum	Class	Order	Family	Genus	Species
OTU3997	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacteriales	f__Enterobacteriaceae	g__Providencia	s__uncultured
OTU3995	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__uncultured
OTU3994	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	unclassified	unclassified	unclassified
OTU348	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Rikenellaceae	g__AF12	s__uncultured
OTU3992	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Aeromonadales	f__Aeromonadaceae	g__Aeromonas	unclassified
OTU3991	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__uncultured
OTU3990	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__uncultured	s__uncultured
OTU457	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__uncultured	s__uncultured
OTU1158	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__Tepidimonas	s__uncultured
OTU2919	k__Bacteria	p__Firmicutes	c__Erysipelotrichi	o__Erysipelotrichales	f__Erysipelotrichaceae	unclassified	unclassified
OTU2319	k__Bacteria	p__Deferribacteres	c__Deferribacteres	o__Deferribacterales	f__Deferribacteraceae	g__Mucispirillum	s__uncultured
OTU2316	k__Bacteria	p__Firmicutes	unclassified	unclassified	unclassified	unclassified	unclassified
OTU2314	k__Bacteria	p__Nitrospirae	c__Nitrospira	o__Nitrospirales	f__Thermodesulfovibrionaceae	g__GOUTA19	s__uncultured
OTU2315	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacteriales	f__Enterobacteriaceae	g__Citrobacter	unclassified
OTU2184	k__Bacteria	p__Firmicutes	unclassified	unclassified	unclassified	unclassified	unclassified
OTU298	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Mogibacteriaceae	g__uncultured	s__uncultured
OTU299	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__uncultured	g__uncultured	s__uncultured
OTU296	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Rikenellaceae	g__PW3	s__uncultured
OTU297	k__Bacteria	p__Firmicutes	unclassified	unclassified	unclassified	unclassified	unclassified
OTU294	k__Bacteria	p__Bacteroidetes	c__Saprospirae	o__Saprospirales	f__Chitinophagaceae	g__Sediminibacterium	s__uncultured
OTU295	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__uncultured	g__uncultured	s__uncultured
OTU292	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Oxalobacteraceae	g__Polynucleobacter	s__uncultured
OTU293	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__uncultured
OTU290	k__Bacteria	p__Deferribacteres	c__Deferribacteres	o__Deferribacterales	f__Deferribacteraceae	g__Mucispirillum	s__uncultured
OTU291	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__uncultured	g__uncultured	s__uncultured
OTU3772	k__Bacteria	p__Deferribacteres	c__Deferribacteres	o__Deferribacterales	f__Deferribacteraceae	g__Mucispirillum	s__uncultured
OTU3771	k__Bacteria	p__Deferribacteres	c__Deferribacteres	o__Deferribacterales	f__Deferribacteraceae	g__Mucispirillum	unclassified
OTU3770	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Porphyromonadaceae	g__Parabacteroides	s__uncultured
OTU3777	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__uncultured	g__uncultured	s__uncultured
OTU3774	k__Bacteria	p__Bacteroidetes	c__Saprospirae	o__Saprospirales	f__Chitinophagaceae	unclassified	unclassified
OTU3778	k__Bacteria	p__Firmicutes	c__Erysipelotrichi	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Eubacterium	unclassified
OTU270	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Rikenellaceae	g__PW3	s__uncultured
OTU271	k__Bacteria	p__Tenericutes	c__Mollicutes	o__RF39	f__uncultured	g__uncultured	s__uncultured
OTU272	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Bacillus	s__marisflavi
OTU273	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	unclassified	unclassified	unclassified
OTU274	k__Bacteria	p__Lentisphaerae	c__Lentisphaeria	o__Victivallales	f__Victivallaceae	g__uncultured	s__uncultured
OTU275	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales	f__Xanthomonadaceae	g__Stenotrophomonas	s__uncultured
OTU276	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__uncultured
OTU277	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Rikenellaceae	g__Rikenella	s__uncultured
OTU278	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Peptococcaceae	g__uncultured	s__uncultured
OTU279	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	unclassified	unclassified	unclassified
OTU1780	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__uncultured
OTU581	k__Bacteria	p__Chloroflexi	c__Thermomicrobia	o__JG30-KF-CM45	f__uncultured	g__uncultured	s__uncultured
OTU2268	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__uncultured
OTU2262	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__uncultured
OTU2263	k__Bacteria	p__Tenericutes	c__CK-1C4-19	o__uncultured	f__uncultured	g__uncultured	s__uncultured
OTU2261	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacteriales	f__Enterobacteriaceae	unclassified	unclassified
OTU2266	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Peptostreptococcaceae	g__Clostridium	s__maritimum
OTU2267	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__uncultured
OTU2264	k__Bacteria	p__Planctomycetes	c__Planctomycetia	o__Planctomycetales	f__Planctomycetaceae	g__Planctomyces	s__uncultured
OTU2265	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__uncultured
OTU2442	k__Bacteria	p__Planctomycetes	c__Planctomycetia	o__Gemmatales	f__Isosphaeraceae	g__uncultured	s__uncultured
OTU2443	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacteriales	f__Enterobacteriaceae	unclassified	unclassified
OTU2440	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__Dorea	s__uncultured
OTU2444	k__Bacteria	p__Firmicutes	c__Erysipelotrichi	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Anaerorhabdus	s__furcosa
OTU2445	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__uncultured	s__uncultured
OTU2449	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacteriales	f__Enterobacteriaceae	unclassified	unclassified
OTU108	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Rikenellaceae	g__PW3	s__uncultured
OTU109	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	unclassified	unclassified
OTU1370	k__Bacteria	p__Firmicutes	c__Erysipelotrichi	o__Erysipelotrichales	f__Erysipelotrichaceae	unclassified	unclassified
OTU102	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__uncultured	s__uncultured
OTU103	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	unclassified	unclassified
OTU100	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Lactococcus	s__garvieae
OTU101	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales	f__Xanthomonadaceae	g__uncultured	s__uncultured
OTU106	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Rikenellaceae	g__uncultured	s__uncultured
OTU107	k__Bacteria	p__Lentisphaerae	c__Lentisphaeria	o__Victivallales	f__Victivallaceae	unclassified	unclassified
OTU104	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium	unclassified
OTU105	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Christensenellaceae	g__Christensenella	s__uncultured
OTU2046	k__Bacteria	p__Firmicutes	c__Erysipelotrichi	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Eubacterium	s__dolichum
OTU2047	k__Bacteria	p__Firmicutes	c__Erysipelotrichi	o__Erysipelotrichales	f__Erysipelotrichaceae	unclassified	unclassified
OTU2045	k__Bacteria	p__Firmicutes	c__Erysipelotrichi	o__Erysipelotrichales	f__Erysipelotrichaceae	unclassified	unclassified
OTU2042	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	unclassified	unclassified
OTU2043	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	unclassified	unclassified	unclassified
OTU2040	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__Dorea	unclassified
OTU2048	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__uncultured	s__uncultured
OTU2049	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Porphyromonadaceae	g__Parabacteroides	s__gordonii
OTU1212	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Nocardioidaceae	g__Nocardioides	s__uncultured
OTU3154	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacteriales	f__Enterobacteriaceae	g__Citrobacter	s__freundii
OTU1213	k__Bacteria	p__Firmicutes	unclassified	unclassified	unclassified	unclassified	unclassified
OTU3159	k__Bacteria	p__Firmicutes	c__Erysipelotrichi	o__Erysipelotrichales	f__Erysipelotrichaceae	unclassified	unclassified
OTU2142	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__uncultured
OTU3519	k__Bacteria	p__Firmicutes	c__Erysipelotrichi	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Anaerorhabdus	s__furcosa
OTU3518	k__Bacteria	p__Firmicutes	c__Erysipelotrichi	o__Erysipelotrichales	f__Erysipelotrichaceae	unclassified	unclassified
OTU3513	k__Bacteria	p__Tenericutes	c__Mollicutes	o__Mycoplasmatales	f__Mycoplasmataceae	g__Mycoplasma	s__uncultured
OTU3512	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium	unclassified
OTU3511	k__Bacteria	p__Firmicutes	c__Erysipelotrichi	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Anaerorhabdus	s__furcosa
OTU3510	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Butyricicoccus	s__pullicaecorum
OTU3517	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__uncultured
OTU3516	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Odoribacteraceae	g__Odoribacter	s__uncultured
OTU3515	k__Bacteria	p__Firmicutes	c__Erysipelotrichi	o__Erysipelotrichales	f__Erysipelotrichaceae	g__uncultured	s__uncultured
OTU1375	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__Dorea	s__uncultured
OTU2688	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacteriales	f__Enterobacteriaceae	g__Serratia	s__uncultured
OTU2684	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacteriales	f__Enterobacteriaceae	unclassified	unclassified
OTU2685	k__Bacteria	p__Firmicutes	c__Erysipelotrichi	o__Erysipelotrichales	f__Erysipelotrichaceae	g__uncultured	s__uncultured
OTU2686	k__Bacteria	p__Firmicutes	c__Erysipelotrichi	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Coprobacillus	unclassified
OTU2687	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__uncultured	s__uncultured
OTU2680	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Ruminococcus	s__uncultured
OTU1655	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Lactococcus	unclassified
OTU2682	k__Bacteria	p__Firmicutes	c__Erysipelotrichi	o__Erysipelotrichales	f__Erysipelotrichaceae	unclassified	unclassified
OTU1436	k__Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
OTU3223	k__Bacteria	p__Firmicutes	c__Erysipelotrichi	o__Erysipelotrichales	f__Erysipelotrichaceae	g__uncultured	s__uncultured
OTU3999	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacteriales	f__Enterobacteriaceae	unclassified	unclassified
OTU1437	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Oscillospira	s__uncultured
OTU3998	k__Bacteria	p__Cyanobacteria	c__4C0d-2	o__YS2	f__uncultured	g__uncultured	s__uncultured
OTU99	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Oscillospira	s__uncultured
OTU98	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Ruminococcus	s__uncultured
OTU1435	k__Bacteria	p__Bacteroidetes	c__Flavobacteriia	o__Flavobacteriales	f__Flavobacteriaceae	g__Robiginitalea	s__uncultured
OTU91	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Promicromonosporaceae	g__Cellulosimicrobium	s__uncultured
OTU90	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Desulfovibrionales	f__Desulfovibrionaceae	g__Desulfovibrio	s__uncultured
OTU93	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Micrococcaceae	unclassified	unclassified
OTU92	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__uncultured	s__uncultured
OTU95	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	unclassified	unclassified	unclassified
OTU94	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Eubacteriaceae	g__Acetobacterium	s__uncultured
OTU97	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__S24-7	g__uncultured	s__uncultured
OTU96	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__uncultured
OTU1623	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__uncultured	g__uncultured	s__uncultured
OTU3206	k__Bacteria	p__Firmicutes	c__Erysipelotrichi	o__Erysipelotrichales	f__Erysipelotrichaceae	g__uncultured	s__uncultured
OTU3205	k__Bacteria	p__Firmicutes	c__Erysipelotrichi	o__Erysipelotrichales	f__Erysipelotrichaceae	unclassified	unclassified
OTU3204	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacteriales	f__Enterobacteriaceae	unclassified	unclassified
OTU1627	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__uncultured
OTU3202	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__uncultured
OTU1625	k__Bacteria	p__Firmicutes	c__Erysipelotrichi	o__Erysipelotrichales	f__Erysipelotrichaceae	g__uncultured	s__uncultured
OTU1999	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Dermatophilaceae	g__Kineosphaera	s__limosa
OTU1998	k__Bacteria	p__Firmicutes	c__Erysipelotrichi	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Eubacterium	s__dolichum
OTU1629	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__uncultured
OTU1628	k__Bacteria	p__Firmicutes	c__Erysipelotrichi	o__Erysipelotrichales	f__Erysipelotrichaceae	g__uncultured	s__uncultured
OTU349	k__Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
OTU3398	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Rikenellaceae	g__PW3	s__uncultured
OTU1293	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Neisseriales	f__Neisseriaceae	g__Vitreoscilla	s__uncultured
OTU2863	k__Bacteria	p__Firmicutes	c__Erysipelotrichi	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Clostridium	s__saccharogumia
OTU559	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Mogibacteriaceae	g__Anaerovorax	s__uncultured
OTU558	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Streptophyta	f__uncultured	g__uncultured	s__uncultured
OTU2866	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__uncultured
OTU2867	k__Bacteria	p__Firmicutes	c__Erysipelotrichi	o__Erysipelotrichales	f__Erysipelotrichaceae	g__uncultured	s__uncultured
OTU555	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__uncultured	s__uncultured
OTU554	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Nocardioidaceae	g__uncultured	s__uncultured
OTU557	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Neisseriales	f__Neisseriaceae	g__Neisseria	s__uncultured
OTU556	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__Clostridium	s__colinum
OTU551	k__Bacteria	p__Firmicutes	c__Erysipelotrichi	o__Erysipelotrichales	f__Erysipelotrichaceae	g__uncultured	s__uncultured
OTU550	k__Bacteria	p__Bacteroidetes	c__Saprospirae	o__Saprospirales	f__Chitinophagaceae	g__uncultured	s__uncultured
OTU553	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__uncultured
OTU552	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Nocardioidaceae	g__Aeromicrobium	s__uncultured
OTU2744	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacteriales	f__Enterobacteriaceae	g__Citrobacter	s__freundii
OTU1439	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	unclassified	unclassified	unclassified
OTU1199	k__Archaea	p__Euryarchaeota	c__Methanobacteria	o__Methanobacteriales	f__Methanobacteriaceae	unclassified	unclassified
OTU1198	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales	f__Sinobacteraceae	g__Nevskia	s__ramosa
OTU3348	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__uncultured	s__uncultured
OTU3349	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Rikenellaceae	g__PW3	s__uncultured
OTU1191	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Porphyromonadaceae	unclassified	unclassified
OTU3343	k__Bacteria	p__Firmicutes	c__Erysipelotrichi	o__Erysipelotrichales	f__Erysipelotrichaceae	unclassified	unclassified
OTU3340	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__uncultured
OTU1192	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	unclassified	unclassified	unclassified
OTU1195	k__Bacteria	p__Tenericutes	c__Mollicutes	o__RF39	f__uncultured	g__uncultured	s__uncultured
OTU3347	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium	s__perfringens
OTU3344	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__uncultured	s__uncultured
OTU3345	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Rikenellaceae	unclassified	unclassified
OTU2965	k__Bacteria	p__Firmicutes	c__Erysipelotrichi	o__Erysipelotrichales	f__Erysipelotrichaceae	unclassified	unclassified
OTU1758	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacteriales	f__Enterobacteriaceae	g__Citrobacter	s__freundii
OTU1757	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Marinicellales	f__Marinicellaceae	g__uncultured	s__uncultured
OTU1756	k__Bacteria	p__Firmicutes	c__Erysipelotrichi	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Eubacterium	s__dolichum
OTU1754	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Ruminococcus	s__uncultured
OTU1753	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Myxococcales	f__Polyangiaceae	g__uncultured	s__uncultured
OTU1752	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pasteurellales	f__Pasteurellaceae	g__Actinobacillus	s__porcinus
OTU1751	k__Bacteria	p__Tenericutes	c__Mollicutes	unclassified	unclassified	unclassified	unclassified
OTU1750	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__uncultured
OTU4258	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	unclassified	unclassified
OTU1174	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Oscillospira	s__uncultured
OTU1173	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__uncultured	s__uncultured
OTU1172	k__Bacteria	p__Fusobacteria	c__Fusobacteriia	o__Fusobacteriales	f__Fusobacteriaceae	g__Cetobacterium	s__somerae
OTU1171	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__uncultured	g__uncultured	s__uncultured
OTU1170	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Chlorophyta	f__Chlamydomonadaceae	g__uncultured	s__uncultured
OTU4251	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Rikenellaceae	g__PW3	s__uncultured
OTU4250	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__uncultured
OTU4253	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__uncultured
OTU1179	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium	s__perfringens
OTU1178	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Ruminococcus	s__uncultured
OTU510	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Rikenellaceae	g__uncultured	s__uncultured
OTU1005	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	unclassified	unclassified
OTU1811	k__Archaea	p__Crenarchaeota	c__MCG	o__uncultured	f__uncultured	g__uncultured	s__uncultured
OTU1285	k__Bacteria	p__Tenericutes	c__CK-1C4-19	o__uncultured	f__uncultured	g__uncultured	s__uncultured
OTU1287	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__uncultured	g__uncultured	s__uncultured
OTU512	k__Bacteria	p__Bacteroidetes	c__Saprospirae	o__Saprospirales	f__Chitinophagaceae	g__uncultured	s__uncultured
OTU1281	k__Bacteria	p__Lentisphaerae	c__Lentisphaeria	o__Victivallales	f__Victivallaceae	g__Victivallis	s__vadensis
OTU1280	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	unclassified	unclassified
OTU1003	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Rikenellaceae	g__AF12	s__uncultured
OTU1289	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__uncultured
OTU1288	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__Clostridium	s__hathewayi
